freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01_value,2023-01_flag,2023-02_value,2023-02_flag,2023-03_value,2023-03_flag,2023-04_value,2023-04_flag,2023-05_value,2023-05_flag,2023-06_value,2023-06_flag,2023-07_value,2023-07_flag,2023-08_value,2023-08_flag,2023-09_value,2023-09_flag,2023-10_value,2023-10_flag,2023-11_value,2023-11_flag,2023-12_value,2023-12_flag,2024-01_value,2024-01_flag,2024-02_value,2024-02_flag,2024-03_value,2024-03_flag,2024-04_value,2024-04_flag,2024-05_value,2024-05_flag,2024-06_value,2024-06_flag,2024-07_value,2024-07_flag,2024-08_value,2024-08_flag,2024-09_value,2024-09_flag,2024-10_value,2024-10_flag,2024-11_value,2024-11_flag,2024-12_value,2024-12_flag,2025-01_value,2025-01_flag,2025-02_value,2025-02_flag,2025-03_value,2025-03_flag,2025-04_value,2025-04_flag,2025-05_value,2025-05_flag,2025-06_value,2025-06_flag,2025-07_value,2025-07_flag,2025-08_value,2025-08_flag,2025-09_value,2025-09_flag,2025-10_value,2025-10_flag,2025-11_value,2025-11_flag,2025-12_value,2025-12_flag
M,PRD,C20,SCA,I21,AT,94.6,,94.5,,92.9,,91.9,,94.1,,93.3,,92.5,,92.6,,97.1,,95.3,,92.9,,91.9,,88.3,,87.0,,89.8,,89.1,,84.5,,87.2,,96.5,,91.4,,88.3,,87.8,,94.4,,83.9,,95.3,,99.6,,97.1,,97.3,,94.2,,94.5,,93.9,,94.2,,92.3,,91.7,,92.7,,86.7,p
M,PRD,C20,SCA,I21,BE,84.3,,88.1,,86.7,,87.2,,83.5,,82.0,,85.5,,85.5,,83.9,,86.6,,87.2,,85.3,,87.6,,89.8,,95.1,,94.8,,93.4,,91.6,,93.9,,92.1,,93.5,,93.7,,93.1,,92.4,,95.7,,95.3,,93.7,,92.7,,89.8,,92.7,,92.0,,91.4,,89.3,,87.5,,87.9,,,:
M,PRD,C20,SCA,I21,BG,112.2,p,99.0,p,101.1,,100.1,,90.0,,87.0,,91.7,,98.5,,98.7,,111.3,,91.7,,96.5,,97.3,p,100.1,p,99.1,p,107.6,p,108.5,p,117.1,p,100.8,,109.7,,103.7,,98.9,,109.9,,101.9,,97.4,,94.0,,93.5,,91.7,,98.5,,89.1,,92.2,,96.8,,91.9,,84.8,,89.1,,91.4,p
M,PRD,C20,SCA,I21,CZ,84.1,,84.6,,87.4,,88.4,,86.3,,87.4,,88.6,,90.0,,92.0,,88.2,,88.2,,87.8,,89.2,,89.9,,89.3,,86.7,,88.2,,92.9,,87.7,,85.7,,85.5,,89.3,,87.7,,87.5,,85.9,,87.3,,88.4,,85.2,,86.5,,85.7,,90.6,,86.8,,86.9,,90.2,,93.6,,93.7,
M,PRD,C20,SCA,I21,DE,80.0,,80.4,,79.1,,77.6,,77.6,,77.8,,77.8,,78.6,,79.8,,78.4,,80.4,,75.7,,78.5,,82.3,,82.5,,81.2,,83.2,,84.5,,83.9,,82.2,,78.7,,78.4,,78.1,,77.8,,81.4,,80.1,,81.4,,80.5,,77.3,,78.0,,77.6,,77.5,,77.9,,77.6,,75.8,,74.0,
M,PRD,C20,SCA,I21,DK,108.9,,105.0,,107.1,,104.4,,98.7,,96.0,,94.1,,93.5,,100.1,,93.8,,92.6,,91.6,,95.3,,97.7,,97.3,,96.8,,101.3,,103.4,,104.5,,103.6,,102.6,,105.9,,107.6,,110.9,,109.0,,111.8,,110.1,,110.1,,109.1,,112.2,,110.5,,110.1,,108.8,,119.4,,85.6,,110.5,
M,PRD,C20,SCA,I21,EA19,85.3,,85.9,,85.6,,85.1,,85.1,,85.2,,85.0,,85.8,,87.0,,86.9,,87.1,,84.7,,85.2,,88.3,,89.5,,87.7,,88.3,,89.7,,88.8,,87.7,,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
M,PRD,C20,SCA,I21,EA20,82.7,,82.5,,82.6,,85.9,,94.9,,90.0,,87.0,,81.8,,85.4,,84.4,,84.5,,79.2,,80.7,,84.1,,80.6,,83.7,,83.3,,81.6,,85.4,,87.1,,82.0,,82.3,,81.9,,78.6,,81.1,,81.4,,82.8,,82.7,,78.5,,77.9,,78.3,,78.3,,78.9,,78.6,,79.1,,,:
M,PRD,C20,SCA,I21,EA21,82.8,,82.6,,82.6,,86.0,,94.8,,89.9,,87.0,,81.9,,85.5,,84.5,,84.6,,79.2,,80.7,,84.2,,80.6,,83.8,,83.4,,81.7,,85.5,,87.1,,82.1,,82.4,,82.0,,78.7,,81.1,,81.5,,82.9,,82.7,,78.6,,78.0,,78.3,,78.3,,78.9,,78.6,,79.2,,,:
M,PRD,C20,SCA,I21,EL,95.8,p,92.7,p,98.4,p,94.4,p,97.3,p,94.6,p,95.3,p,100.7,p,96.4,p,102.9,p,101.2,p,108.0,p,112.4,p,108.8,p,105.5,p,109.2,p,104.9,p,108.3,p,105.7,p,102.7,p,106.2,p,102.3,p,91.4,p,99.9,p,111.5,p,105.8,p,110.5,p,113.1,p,112.9,p,114.2,p,111.6,p,117.0,p,111.8,p,110.1,p,118.0,p,112.0,p
