freq,indic_bt,nace_r2,s_adj,unit,geo\TIME_PERIOD,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
M,PRD,C171,SCA,I21,DE,77.1,76.4,76.2,75.6,76.9,76.8,77.3,76.5,78.8,79.7,81.1,80.2,81.3,82.3,83.6,85.7,83.6,80.4,80.1,79.5,78.5,80.2,79.1,77.8,79.1,80.8,78.6,80.3,77.3,76.7,77.6,74.5,75.9,77.4,73.9,78.2
M,PRD,C171,SCA,I21,EA19,81.9,80.5,77.2,79.3,79.6,79.2,80.2,79.9,81.9,82.0,84.3,83.5,85.4,88.9,88.4,88.9,88.7,85.8,84.6,85.3,,,,,,,,,,,,,,,,
M,PRD,C171,SCA,I21,EA20,81.5,80.1,76.6,79.1,79.1,79.3,80.6,79.9,81.9,81.8,84.3,83.5,85.7,88.4,88.3,88.5,88.1,85.7,84.9,85.3,83.9,84.1,84.7,83.5,83.8,86.0,85.0,84.2,83.6,83.5,82.6,80.8,82.7,83.4,81.2,82.5
M,PRD,C171,SCA,I21,EA21,81.5,80.1,76.6,79.1,79.1,79.3,80.6,79.9,81.9,81.8,84.3,83.5,85.7,88.4,88.3,88.5,88.1,85.7,84.9,85.3,83.9,84.1,84.7,83.5,83.8,86.0,85.0,84.2,83.6,83.5,82.6,80.8,82.7,83.4,81.2,82.5
M,PRD,C171,SCA,I21,EL,106.2,109.3,102.5,103.9,104.8,95.4,104.9,103.6,104.0,109.9,110.7,106.6,96.7,107.9,102.1,102.8,97.4,102.8,97.4,97.0,100.3,92.8,94.7,100.5,51.4,87.2,99.0,93.6,95.6,99.4,95.3,91.5,95.7,95.6,98.2,94.2
M,PRD,C171,SCA,I21,ES,89.5,89.4,87.2,85.5,83.6,87.9,88.5,86.0,86.6,87.8,95.0,92.1,96.4,97.6,96.5,92.9,95.2,94.8,94.1,93.1,93.9,94.7,94.0,93.9,92.5,93.1,91.1,90.1,91.7,91.0,89.6,89.1,86.7,88.8,88.1,88.9
M,PRD,C171,SCA,I21,EU27_2020,83.9,82.5,80.8,80.9,81.5,81.0,82.1,81.9,82.0,82.4,84.7,85.7,87.1,91.3,89.3,91.3,89.9,87.8,87.9,88.0,,,,,,,,,,,,,,,,
M,PRD,C171,SCA,I21,FR,79.4,79.3,74.6,79.9,77.6,73.1,81.8,82.8,84.8,82.5,82.8,81.6,84.2,93.1,86.9,89.9,88.7,88.4,89.6,88.8,86.3,86.8,86.7,88.3,85.9,84.2,90.0,86.5,87.8,88.3,87.4,86.8,87.1,88.4,86.6,82.0
M,PRD,C171,SCA,I21,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,C171,SCA,I21,IT,79.3,75.3,72.3,74.6,75.2,77.5,80.6,77.5,78.6,77.2,78.3,82.6,82.7,85.3,85.9,85.9,84.4,82.7,83.1,84.1,80.5,81.3,80.9,79.1,79.6,82.5,84.9,81.1,80.6,80.7,78.5,80.1,80.7,79.8,82.1,80.8
M,PRD,C171,SCA,I21,LT,89.5,92.5,109.3,107.4,132.3,113.0,118.7,124.4,114.3,123.5,120.5,107.9,118.3,115.5,121.3,133.0,140.8,121.9,123.2,120.0,125.9,147.7,128.9,107.0,149.8,119.3,129.0,140.2,133.7,131.0,126.7,136.7,141.0,147.8,136.4,120.3
M,PRD,C171,SCA,I21,NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,C171,SCA,I21,PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,C171,SCA,I21,RO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,PRD,C171,SCA,I21,SE,89.8,88.0,90.7,85.0,86.8,84.4,85.1,86.1,81.6,82.9,84.9,90.5,89.5,97.8,91.0,97.5,94.1,92.6,94.7,94.0,,,,,,,,,,,,,,,,
M,PRD,C171,SCA,I21,TR,81.5,79.0,85.5,85.7,85.9,92.8,89.2,92.0,90.5,89.4,87.1,84.9,93.1,96.2,91.8,96.8,88.1,80.5,91.2,88.7,87.6,84.1,89.0,91.6,90.5,89.8,92.9,91.0,90.4,84.8,86.5,81.7,87.1,86.9,81.6,88.9
