DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODQNT,2017,205
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODQNT,2018,315
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODQNT,2019,350286
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODQNT,2020,698726
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODQNT,2021,6047
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODQNT,2022,1274
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODQNT,2023,1401
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODQNT,2024,3299
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2015,268
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2016,3492
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2017,2689
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2018,9526
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2019,2318881
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2020,2689893
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2021,42356
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2022,7931
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2023,17984
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22213065,PRODVAL,2024,40891
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213065,PRODQNT,2015,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213065,PRODQNT,2016,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213065,PRODQNT,2017,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213065,PRODQNT,2018,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213065,PRODQNT,2019,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213065,PRODQNT,2021,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213065,PRODQNT,2022,0
