DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODQNT,2021,48500
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODQNT,2022,35900
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODQNT,2023,3600
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODQNT,2024,7480
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2015,1212617
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2016,1178193
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2017,1167092
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2018,1422218
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2019,1569428
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2020,1745156
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2021,161000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2022,148000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2023,18000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22213021,PRODVAL,2024,69000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2015,46933000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2016,42913000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2017,45418000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2018,46630000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2019,31801000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2020,32374000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2021,35534000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2022,34789000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2023,34189000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODQNT,2024,31613000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODVAL,2015,138372631
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,22213021,PRODVAL,2016,124115414
