freq,nace_r2,indic_sb,geo\TIME_PERIOD,2015_value,2015_flag,2016_value,2016_flag,2017_value,2017_flag,2018_value,2018_flag,2019_value,2019_flag,2020_value,2020_flag
A,C2229,V16110,SE,7549.0,,7735.0,,8169.0,,9391.0,b,8926.0,,8626.0,
A,C2229,V16110,SI,6038.0,,6470.0,,6897.0,,7205.0,,6712.0,,6294.0,
A,C2229,V16110,SK,12805.0,,13488.0,,14428.0,,14566.0,,14116.0,,12765.0,
A,C2229,V16110,UK,51563.0,,49176.0,b,55662.0,,47271.0,,,:,,:
A,C2229,V12150,AL,,:,,:,,:,,:,,: u,,: u
A,C2229,V12150,AT,715.1,,750.9,,803.2,,847.8,b,863.4,,767.7,
A,C2229,V12150,BA,12.0,e,10.6,e,15.5,b,16.2,,24.3,,29.7,
A,C2229,V12150,BE,464.4,,463.1,,505.1,,536.5,,544.5,,523.3,
A,C2229,V12150,BG,58.5,,66.4,,72.5,,64.8,b,73.7,,79.3,
A,C2229,V12150,CY,1.2,,1.5,,1.5,,1.8,,2.0,,2.2,
A,C2229,V12150,CZ,835.2,,955.2,,1000.0,,985.5,,1060.8,,971.8,
A,C2229,V12150,DE,8653.0,,9030.0,,9024.2,,9881.2,b,10144.0,,8788.8,
A,C2229,V12150,DK,400.2,,404.5,,424.9,,407.4,,414.6,,433.5,
A,C2229,V12150,EE,33.1,,45.9,,52.2,,60.1,b,,: u,,: u
A,C2229,V12150,EL,64.9,,74.2,,79.0,,79.4,b,79.8,,77.1,
A,C2229,V12150,ES,1672.0,,1631.0,,1755.1,,1969.6,,2004.5,,1759.8,
A,C2229,V12150,EU27_2020,23538.7,,24924.9,,26000.0,de,27010.1,,27927.8,,26068.2,
A,C2229,V12150,EU28,26991.0,,28143.2,,28700.0,de,29783.8,,,:,,:
A,C2229,V12150,FI,222.3,,241.6,,252.7,b,253.8,,260.3,,289.5,
A,C2229,V12150,FR,2078.0,b,2195.4,,2115.2,b,1959.2,,2277.2,,2176.4,
A,C2229,V12150,HR,56.3,,57.2,,62.6,,67.3,,75.8,b,70.5,
A,C2229,V12150,HU,381.7,,418.4,,486.7,,499.5,b,545.9,,555.3,
