DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODQNT,2022,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODQNT,2023,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODQNT,2024,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2015,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2016,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2017,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2018,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2019,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2020,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2021,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2022,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2023,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,17291120,PRODVAL,2024,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2015,8827179
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2016,7955295
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2017,7516353
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2018,7559562
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2019,6940997
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2020,6372419
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2021,6467700
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2022,7112977
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2023,6605604
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODQNT,2024,6768053
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2015,79633784
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2016,73827292
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2017,74665198
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2018,79284790
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2019,80838878
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2020,79536987
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2021,87539158
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2022,106236139
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2023,111254333
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,17291120,PRODVAL,2024,102521895
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODQNT,2015,89988129
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODQNT,2016,89720805
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODQNT,2017,92365653
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODQNT,2018,93219596
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODQNT,2021,93219596
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODQNT,2022,93219596
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODQNT,2023,93219596
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODQNT,2024,93219596
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODVAL,2015,936675178
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODVAL,2016,937797315
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODVAL,2017,968057052
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODVAL,2018,983449070
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODVAL,2019,1011315848
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODVAL,2020,1039682389
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODVAL,2021,1017848000
