DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,22292240,PRODVAL,2018,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,22292240,PRODVAL,2019,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,22292240,PRODVAL,2020,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,22292240,PRODVAL,2021,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,22292240,PRODVAL,2022,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,22292240,PRODVAL,2023,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CY,22292240,PRODVAL,2024,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2015,5351922
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2016,5866822
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2017,7543306
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2018,8093014
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2019,8645052
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2020,7737940
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2021,8650527
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2022,8087451
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2023,9376862
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODQNT,2024,8938444
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2015,21332197
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2016,22230783
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2017,28335410
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2018,31446095
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2019,31397974
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2020,28028879
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2021,32232293
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2022,31442278
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2023,36610690
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,CZ,22292240,PRODVAL,2024,32604777
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,22292240,PRODQNT,2015,85376522
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,22292240,PRODQNT,2016,90094483
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,22292240,PRODQNT,2017,90002115
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,22292240,PRODQNT,2018,84217980
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,22292240,PRODVAL,2017,597708465
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2015,17956803
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2016,22302540
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2017,20539510
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2018,25128747
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2019,17504917
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2020,23664493
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2021,26222134
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2022,23094615
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2023,23765954
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODQNT,2024,24521624
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2015,37387883
