ticker,company,app_category,country,date,open,high,low,close,volume
NESN.SW,Nestlé,Food,Switzerland,2025-12-17,78.13,79.36,77.99,79.36,4859260
NESN.SW,Nestlé,Food,Switzerland,2025-12-18,79.6,80.3,79.27,79.88,3126119
NESN.SW,Nestlé,Food,Switzerland,2025-12-19,78.82,79.82,78.64,78.79,10366663
NESN.SW,Nestlé,Food,Switzerland,2025-12-22,78.57,78.69,77.74,78.03,2196389
NESN.SW,Nestlé,Food,Switzerland,2025-12-23,78.0,78.5,77.8,77.83,2074393
NESN.SW,Nestlé,Food,Switzerland,2025-12-29,78.0,78.84,77.85,78.74,2840270
NESN.SW,Nestlé,Food,Switzerland,2025-12-30,78.33,78.8,78.11,78.74,2321271
NESN.SW,Nestlé,Food,Switzerland,2026-01-05,78.22,78.3,75.63,76.44,5802487
NESN.SW,Nestlé,Food,Switzerland,2026-01-06,76.4,76.59,75.7,76.16,4395991
NESN.SW,Nestlé,Food,Switzerland,2026-01-07,75.61,76.33,74.02,74.53,5332634
NESN.SW,Nestlé,Food,Switzerland,2026-01-08,74.5,74.95,73.67,74.36,4933839
NESN.SW,Nestlé,Food,Switzerland,2026-01-09,74.25,75.41,74.23,75.41,4154745
NESN.SW,Nestlé,Food,Switzerland,2026-01-12,75.49,75.94,74.93,74.99,3092423
NESN.SW,Nestlé,Food,Switzerland,2026-01-13,74.9,75.36,74.47,75.2,2644539
NESN.SW,Nestlé,Food,Switzerland,2026-01-14,75.07,76.55,75.01,76.55,5393941
NESN.SW,Nestlé,Food,Switzerland,2026-01-15,76.4,76.93,76.15,76.52,3675044
NESN.SW,Nestlé,Food,Switzerland,2026-01-16,76.15,76.22,75.24,75.24,4940026
NESN.SW,Nestlé,Food,Switzerland,2026-01-19,75.2,75.3,74.25,74.69,2709560
NESN.SW,Nestlé,Food,Switzerland,2026-01-20,74.76,74.86,72.57,73.94,4419228
NESN.SW,Nestlé,Food,Switzerland,2026-01-21,73.8,74.12,72.9,72.98,4606054
NESN.SW,Nestlé,Food,Switzerland,2026-01-22,73.89,74.39,72.87,73.19,4161182
NESN.SW,Nestlé,Food,Switzerland,2026-01-23,72.94,73.07,71.96,72.47,4421247
NESN.SW,Nestlé,Food,Switzerland,2026-01-26,72.4,72.5,70.29,71.85,5804640
NESN.SW,Nestlé,Food,Switzerland,2026-01-27,71.5,72.85,71.4,72.85,4402757
NESN.SW,Nestlé,Food,Switzerland,2026-01-28,72.94,73.2,72.21,72.54,3176226
NESN.SW,Nestlé,Food,Switzerland,2026-01-29,71.5,73.67,71.5,73.48,3452121
NESN.SW,Nestlé,Food,Switzerland,2026-01-30,73.46,74.06,73.15,73.43,3542959
NESN.SW,Nestlé,Food,Switzerland,2026-02-02,73.9,75.99,73.86,75.51,3894580
NESN.SW,Nestlé,Food,Switzerland,2026-02-03,76.0,76.39,75.18,76.08,3426183
NESN.SW,Nestlé,Food,Switzerland,2026-02-04,76.49,78.17,76.05,78.09,4504328
NESN.SW,Nestlé,Food,Switzerland,2026-02-05,78.75,78.8,77.46,78.43,3729746
NESN.SW,Nestlé,Food,Switzerland,2026-02-06,78.5,79.33,77.72,78.89,2559931
NESN.SW,Nestlé,Food,Switzerland,2026-02-09,78.86,78.99,78.08,78.39,2770663
NESN.SW,Nestlé,Food,Switzerland,2026-02-10,78.52,79.05,78.29,78.92,2644418
NESN.SW,Nestlé,Food,Switzerland,2026-02-11,78.78,79.38,76.52,78.25,5083051
NESN.SW,Nestlé,Food,Switzerland,2026-02-12,78.46,79.68,77.57,79.34,3657344
NESN.SW,Nestlé,Food,Switzerland,2026-02-13,79.0,80.08,78.72,79.58,4239957
NESN.SW,Nestlé,Food,Switzerland,2026-02-16,79.55,80.23,79.36,80.17,2665975
NESN.SW,Nestlé,Food,Switzerland,2026-02-17,80.04,80.71,79.02,79.02,2985991
NESN.SW,Nestlé,Food,Switzerland,2026-02-18,79.31,79.78,77.91,78.4,5540934
NESN.SW,Nestlé,Food,Switzerland,2026-02-19,80.4,82.24,79.52,81.43,8710135
NESN.SW,Nestlé,Food,Switzerland,2026-02-20,80.94,81.11,79.45,80.91,5670392
NESN.SW,Nestlé,Food,Switzerland,2026-02-23,81.2,81.4,80.03,81.4,3571750
NESN.SW,Nestlé,Food,Switzerland,2026-02-24,81.49,83.88,81.35,82.94,5831382
NESN.SW,Nestlé,Food,Switzerland,2026-02-25,83.0,83.62,82.23,82.9,4580753
NESN.SW,Nestlé,Food,Switzerland,2026-02-26,82.9,83.1,82.47,82.72,2860883
NESN.SW,Nestlé,Food,Switzerland,2026-02-27,83.16,84.09,82.19,83.98,5518175
NESN.SW,Nestlé,Food,Switzerland,2026-03-02,83.66,84.65,82.61,83.21,5676807
NESN.SW,Nestlé,Food,Switzerland,2026-03-03,82.59,83.16,81.11,81.25,5047266
NESN.SW,Nestlé,Food,Switzerland,2026-03-04,81.71,82.38,80.58,80.58,2722934
NESN.SW,Nestlé,Food,Switzerland,2026-03-05,80.25,81.09,79.97,80.14,2569189
NESN.SW,Nestlé,Food,Switzerland,2026-03-06,80.0,80.95,79.14,80.24,3148812
NESN.SW,Nestlé,Food,Switzerland,2026-03-09,79.8,80.05,78.72,80.05,4117787
NESN.SW,Nestlé,Food,Switzerland,2026-03-10,81.0,81.2,78.6,79.59,3899081
NESN.SW,Nestlé,Food,Switzerland,2026-03-11,79.0,79.53,78.47,79.53,3316235
NESN.SW,Nestlé,Food,Switzerland,2026-03-12,79.7,80.53,78.88,80.02,3088239
NESN.SW,Nestlé,Food,Switzerland,2026-03-13,80.0,81.12,79.1,80.87,2940787
NESN.SW,Nestlé,Food,Switzerland,2026-03-16,80.56,81.03,80.37,80.61,2465656
BN.PA,Danone,Food,France,2025-12-17,76.94,77.58,76.92,77.46,1139609
BN.PA,Danone,Food,France,2025-12-18,77.8,78.68,77.5,78.26,1462245
BN.PA,Danone,Food,France,2025-12-19,78.14,78.3,77.52,77.76,1819621
BN.PA,Danone,Food,France,2025-12-22,77.26,77.4,76.48,76.98,663112
BN.PA,Danone,Food,France,2025-12-23,77.08,77.16,76.46,76.48,632208
BN.PA,Danone,Food,France,2025-12-24,76.52,76.88,76.4,76.88,175671
BN.PA,Danone,Food,France,2025-12-29,76.96,77.04,76.32,76.74,574153
BN.PA,Danone,Food,France,2025-12-30,76.64,77.12,76.54,77.02,521347
BN.PA,Danone,Food,France,2025-12-31,77.06,77.06,76.6,76.78,302021
BN.PA,Danone,Food,France,2026-01-02,76.22,76.76,75.62,76.04,666235
BN.PA,Danone,Food,France,2026-01-05,75.94,75.98,73.68,74.4,1008044
BN.PA,Danone,Food,France,2026-01-06,74.76,75.34,74.24,75.08,799845
BN.PA,Danone,Food,France,2026-01-07,76.06,76.44,74.94,74.94,1168584
BN.PA,Danone,Food,France,2026-01-08,74.82,76.6,74.74,76.2,1625294
BN.PA,Danone,Food,France,2026-01-09,76.02,76.92,75.92,76.82,690316
BN.PA,Danone,Food,France,2026-01-12,76.06,77.36,76.06,77.36,1140224
BN.PA,Danone,Food,France,2026-01-13,76.84,77.64,76.6,77.58,1268547
BN.PA,Danone,Food,France,2026-01-14,77.56,77.74,74.76,76.28,1827867
BN.PA,Danone,Food,France,2026-01-15,76.02,77.02,75.8,76.52,1091064
BN.PA,Danone,Food,France,2026-01-16,76.24,76.3,75.34,75.44,1718572
BN.PA,Danone,Food,France,2026-01-19,74.4,74.54,73.7,74.04,1209685
BN.PA,Danone,Food,France,2026-01-20,74.22,74.24,73.06,73.6,1058643
BN.PA,Danone,Food,France,2026-01-21,66.42,70.76,65.0,67.4,4013018
BN.PA,Danone,Food,France,2026-01-22,68.0,69.94,67.86,68.26,2303233
BN.PA,Danone,Food,France,2026-01-23,67.68,68.0,67.12,67.54,1514136
BN.PA,Danone,Food,France,2026-01-26,66.98,66.98,63.52,66.0,3395704
BN.PA,Danone,Food,France,2026-01-27,65.98,66.54,65.52,66.16,2044463
BN.PA,Danone,Food,France,2026-01-28,65.64,66.88,65.24,66.54,1640327
BN.PA,Danone,Food,France,2026-01-29,66.38,66.66,65.78,66.1,1471750
BN.PA,Danone,Food,France,2026-01-30,66.1,66.34,65.28,65.84,1875177
BN.PA,Danone,Food,France,2026-02-02,66.7,69.28,66.68,68.96,2845362
BN.PA,Danone,Food,France,2026-02-03,69.12,70.66,69.1,70.28,2647405
BN.PA,Danone,Food,France,2026-02-04,70.5,71.92,70.4,71.88,2386677
BN.PA,Danone,Food,France,2026-02-05,71.8,71.92,70.96,71.82,1112804
BN.PA,Danone,Food,France,2026-02-06,70.54,70.78,68.94,69.16,2021246
BN.PA,Danone,Food,France,2026-02-09,69.0,69.9,68.62,69.82,1179243
BN.PA,Danone,Food,France,2026-02-10,69.94,70.16,69.44,70.0,990494
BN.PA,Danone,Food,France,2026-02-11,69.9,70.8,67.48,69.02,1895055
BN.PA,Danone,Food,France,2026-02-12,69.6,72.28,69.16,72.28,2366427
BN.PA,Danone,Food,France,2026-02-13,72.16,72.68,71.58,72.32,1690092
BN.PA,Danone,Food,France,2026-02-16,72.06,72.72,71.96,72.6,809545
BN.PA,Danone,Food,France,2026-02-17,72.86,73.18,72.34,72.44,738958
BN.PA,Danone,Food,France,2026-02-18,72.5,72.74,71.94,72.28,1314744
BN.PA,Danone,Food,France,2026-02-19,72.5,74.16,72.5,74.12,1577449
BN.PA,Danone,Food,France,2026-02-20,73.8,74.6,72.54,73.6,2078785
BN.PA,Danone,Food,France,2026-02-23,73.7,73.88,71.68,72.04,1165627
BN.PA,Danone,Food,France,2026-02-24,72.0,72.56,71.32,72.06,1490933
BN.PA,Danone,Food,France,2026-02-25,72.2,73.0,71.76,72.42,1424695
BN.PA,Danone,Food,France,2026-02-26,72.4,72.82,71.96,72.7,759699
BN.PA,Danone,Food,France,2026-02-27,72.6,73.5,72.06,72.64,2051106
BN.PA,Danone,Food,France,2026-03-02,72.04,72.68,70.9,71.22,1370676
BN.PA,Danone,Food,France,2026-03-03,70.9,71.38,69.94,69.94,1522279
BN.PA,Danone,Food,France,2026-03-04,71.26,72.22,70.94,70.94,1792205
BN.PA,Danone,Food,France,2026-03-05,70.54,71.18,69.7,70.04,1380397
BN.PA,Danone,Food,France,2026-03-06,69.82,70.6,69.18,70.2,1341571
BN.PA,Danone,Food,France,2026-03-09,69.36,69.8,68.9,69.2,1228131
BN.PA,Danone,Food,France,2026-03-10,69.1,69.56,68.52,69.3,1482914
BN.PA,Danone,Food,France,2026-03-11,69.0,69.4,68.64,69.0,1100275
BN.PA,Danone,Food,France,2026-03-12,68.86,70.24,68.54,70.24,1550631
BN.PA,Danone,Food,France,2026-03-13,69.76,71.92,69.68,71.92,2139385
BN.PA,Danone,Food,France,2026-03-16,71.8,72.84,71.76,72.84,1783211
ABF.L,Assoc British Foods,Food,UK,2025-12-17,2119.0,2128.0,2090.0,2119.0,862057
ABF.L,Assoc British Foods,Food,UK,2025-12-18,2130.0,2140.0,2111.0,2135.0,1209335
ABF.L,Assoc British Foods,Food,UK,2025-12-19,2138.0,2154.0,2122.0,2124.0,1445329
ABF.L,Assoc British Foods,Food,UK,2025-12-22,2125.0,2126.0,2097.0,2107.0,1470716
ABF.L,Assoc British Foods,Food,UK,2025-12-23,2115.0,2128.0,2102.0,2111.0,306744
ABF.L,Assoc British Foods,Food,UK,2025-12-24,2126.0,2126.0,2112.0,2113.0,122582
ABF.L,Assoc British Foods,Food,UK,2025-12-29,2117.0,2133.0,2113.0,2121.0,427444
ABF.L,Assoc British Foods,Food,UK,2025-12-30,2113.0,2150.0,2113.0,2142.0,273346
ABF.L,Assoc British Foods,Food,UK,2025-12-31,2135.0,2145.0,2120.0,2127.0,365585
ABF.L,Assoc British Foods,Food,UK,2026-01-02,2143.0,2146.0,2119.0,2125.0,606589
ABF.L,Assoc British Foods,Food,UK,2026-01-05,2141.0,2148.0,2108.0,2148.0,761054
ABF.L,Assoc British Foods,Food,UK,2026-01-06,2170.0,2187.0,2147.0,2147.0,529193
ABF.L,Assoc British Foods,Food,UK,2026-01-07,2146.0,2164.0,2134.0,2151.0,665307
ABF.L,Assoc British Foods,Food,UK,2026-01-08,1922.0,1948.5,1843.5,1850.0,3627268
ABF.L,Assoc British Foods,Food,UK,2026-01-09,1831.5,1885.5,1829.5,1859.0,2326199
ABF.L,Assoc British Foods,Food,UK,2026-01-12,1840.5,1860.0,1810.0,1844.5,1297565
ABF.L,Assoc British Foods,Food,UK,2026-01-13,1846.0,1865.5,1835.5,1838.0,999572
ABF.L,Assoc British Foods,Food,UK,2026-01-14,1835.5,1871.5,1827.0,1867.0,1970260
ABF.L,Assoc British Foods,Food,UK,2026-01-15,1866.5,1874.0,1838.0,1869.0,844572
ABF.L,Assoc British Foods,Food,UK,2026-01-16,1871.0,1878.0,1848.5,1858.5,1480063
ABF.L,Assoc British Foods,Food,UK,2026-01-19,1852.5,1875.5,1849.5,1856.0,1230570
ABF.L,Assoc British Foods,Food,UK,2026-01-20,1858.5,1867.5,1840.0,1863.5,1059742
ABF.L,Assoc British Foods,Food,UK,2026-01-21,1865.0,1875.5,1842.0,1860.0,1367614
ABF.L,Assoc British Foods,Food,UK,2026-01-22,1877.0,1888.187,1856.0,1884.0,807931
ABF.L,Assoc British Foods,Food,UK,2026-01-23,1880.0,1899.0,1872.0,1879.5,622706
ABF.L,Assoc British Foods,Food,UK,2026-01-26,1886.0,1895.0,1877.5,1881.5,841845
ABF.L,Assoc British Foods,Food,UK,2026-01-27,1891.0,1903.5,1885.0,1903.5,1368769
ABF.L,Assoc British Foods,Food,UK,2026-01-28,1905.5,1930.0,1899.226,1906.5,907249
ABF.L,Assoc British Foods,Food,UK,2026-01-29,1906.0,1911.0,1867.0,1893.5,1108680
ABF.L,Assoc British Foods,Food,UK,2026-01-30,1884.0,1912.0,1884.0,1905.0,884930
ABF.L,Assoc British Foods,Food,UK,2026-02-02,1926.5,1926.5,1887.0,1915.0,966148
ABF.L,Assoc British Foods,Food,UK,2026-02-03,1919.5,1921.5,1863.0,1873.5,830545
ABF.L,Assoc British Foods,Food,UK,2026-02-04,1888.5,1934.5,1879.5,1931.0,896469
ABF.L,Assoc British Foods,Food,UK,2026-02-05,1934.5,1942.0,1911.5,1930.0,1153209
ABF.L,Assoc British Foods,Food,UK,2026-02-06,1924.5,1936.5,1908.5,1936.5,989267
ABF.L,Assoc British Foods,Food,UK,2026-02-09,1935.0,1952.0,1888.5,1918.5,556247
ABF.L,Assoc British Foods,Food,UK,2026-02-10,1930.5,1959.5,1923.0,1957.0,579111
ABF.L,Assoc British Foods,Food,UK,2026-02-11,1957.5,2001.0,1943.5,1993.0,536569
ABF.L,Assoc British Foods,Food,UK,2026-02-12,2006.0,2010.0,1956.0,1956.0,862311
ABF.L,Assoc British Foods,Food,UK,2026-02-13,1970.5,1978.5,1941.5,1967.0,757740
ABF.L,Assoc British Foods,Food,UK,2026-02-16,1975.0,1976.5,1935.5,1947.5,382876
ABF.L,Assoc British Foods,Food,UK,2026-02-17,1956.5,1965.5,1934.5,1949.5,560082
ABF.L,Assoc British Foods,Food,UK,2026-02-18,1958.5,1977.0,1939.0,1967.0,536383
ABF.L,Assoc British Foods,Food,UK,2026-02-19,1972.5,1993.5,1953.5,1976.5,1144804
ABF.L,Assoc British Foods,Food,UK,2026-02-20,1980.5,1992.5,1953.0,1953.5,1147981
ABF.L,Assoc British Foods,Food,UK,2026-02-23,1960.5,1979.0,1945.0,1950.5,513541
ABF.L,Assoc British Foods,Food,UK,2026-02-24,1961.0,1980.0,1950.0,1960.0,682452
ABF.L,Assoc British Foods,Food,UK,2026-02-25,1969.5,1969.5,1937.5,1954.5,741439
