ticker,company,app_category,country,quarter,quarter_end,metric,value,currency,period_type
ABI.BR,AB InBev,Beverage,Belgium,2025-Q3,2025-09-30,EBITDA,3162000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q2,2025-06-30,EBITDA,4325000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q1,2025-03-31,EBITDA,3587000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2024-Q4,2024-12-31,EBITDA,3357000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q4,2025-12-31,Net Income,1959000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q3,2025-09-30,Net Income,1054000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q2,2025-06-30,Net Income,1676000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q1,2025-03-31,Net Income,2148000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2024-Q4,2024-12-31,Net Income,1220000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q4,2025-12-31,Total Revenue,15555000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q3,2025-09-30,Total Revenue,15133000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q2,2025-06-30,Total Revenue,15004000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2025-Q1,2025-03-31,Total Revenue,13628000000.0,EUR,quarterly
ABI.BR,AB InBev,Beverage,Belgium,2024-Q4,2024-12-31,Total Revenue,14841000000.0,EUR,quarterly
HEIA.AS,Heineken,Beverage,Netherlands,FY 2025,2025-12-31,EBITDA,6248000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2024,2024-12-31,EBITDA,5313000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2023,2023-12-31,EBITDA,6072000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2022,2022-12-31,EBITDA,6450000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2025,2025-12-31,Net Income,1885000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2024,2024-12-31,Net Income,978000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2023,2023-12-31,Net Income,2304000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2022,2022-12-31,Net Income,2682000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2025,2025-12-31,Total Revenue,28753000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2024,2024-12-31,Total Revenue,29821000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2023,2023-12-31,Total Revenue,30362000000.0,EUR,annual
HEIA.AS,Heineken,Beverage,Netherlands,FY 2022,2022-12-31,Total Revenue,28719000000.0,EUR,annual
DGE.L,Diageo,Beverage,UK,FY 2025,2025-06-30,EBITDA,6359000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2024,2024-06-30,EBITDA,7087000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2023,2023-06-30,EBITDA,7890000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2022,2022-06-30,EBITDA,8089000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2025,2025-06-30,Net Income,2354000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2024,2024-06-30,Net Income,3870000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2023,2023-06-30,Net Income,4445000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2022,2022-06-30,Net Income,4280000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2025,2025-06-30,Total Revenue,20245000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2024,2024-06-30,Total Revenue,20269000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2023,2023-06-30,Total Revenue,20555000000.0,GBp,annual
DGE.L,Diageo,Beverage,UK,FY 2022,2022-06-30,Total Revenue,20516000000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2024,2024-12-31,EBITDA,1624300000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2023,2023-12-31,EBITDA,1383100000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2022,2022-12-31,EBITDA,1106200000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2021,2021-12-31,EBITDA,1133300000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2024,2024-12-31,Net Income,820600000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2023,2023-12-31,Net Income,636500000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2022,2022-12-31,Net Income,415400000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2021,2021-12-31,Net Income,547200000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2024,2024-12-31,Total Revenue,10754400000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2023,2023-12-31,Total Revenue,10184000000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2022,2022-12-31,Total Revenue,9198400000.0,GBp,annual
CCH.L,Coca-Cola HBC,Beverage,UK,FY 2021,2021-12-31,Total Revenue,7168400000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2025,2025-12-31,EBITDA,14056000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2024,2024-12-31,EBITDA,8422000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2023,2023-12-31,EBITDA,8826000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2022,2022-12-31,EBITDA,12292000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2025,2025-12-31,Net Income,7764000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2024,2024-12-31,Net Income,3068000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2023,2023-12-31,Net Income,-14367000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2022,2022-12-31,Net Income,6666000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2025,2025-12-31,Total Revenue,25610000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2024,2024-12-31,Total Revenue,25867000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2023,2023-12-31,Total Revenue,27283000000.0,GBp,annual
BATS.L,BAT,Tobacco,UK,FY 2022,2022-12-31,Total Revenue,27655000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2025,2025-09-30,EBITDA,4365000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2024,2024-09-30,EBITDA,4137000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2023,2023-09-30,EBITDA,4245000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2022,2022-09-30,EBITDA,4928000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2025,2025-09-30,Net Income,2071000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2024,2024-09-30,Net Income,2613000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2023,2023-09-30,Net Income,2328000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2022,2022-09-30,Net Income,1570000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2025,2025-09-30,Total Revenue,32171000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2024,2024-09-30,Total Revenue,32411000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2023,2023-09-30,Total Revenue,32475000000.0,GBp,annual
IMB.L,Imperial Brands,Tobacco,UK,FY 2022,2022-09-30,Total Revenue,32551000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2024,2024-12-31,EBITDA,11744000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2023,2023-12-31,EBITDA,11992000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2022,2022-12-31,EBITDA,13072000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2021,2021-12-31,EBITDA,10817000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2024,2024-12-31,Net Income,5744000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2023,2023-12-31,Net Income,6487000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2022,2022-12-31,Net Income,7642000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2021,2021-12-31,Net Income,6049000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2024,2024-12-31,Total Revenue,60761000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2023,2023-12-31,Total Revenue,59604000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2022,2022-12-31,Total Revenue,60073000000.0,GBp,annual
ULVR.L,Unilever,Home & Personal Care,UK,FY 2021,2021-12-31,Total Revenue,52444000000.0,GBp,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2025,2025-12-31,EBITDA,10685400000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2024,2024-12-31,EBITDA,10661600000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2023,2023-12-31,EBITDA,9944900000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2022,2022-12-31,EBITDA,9223600000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2025,2025-12-31,Net Income,6127200000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2024,2024-12-31,Net Income,6408700000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2023,2023-12-31,Net Income,6184000000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2022,2022-12-31,Net Income,5706600000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2025,2025-12-31,Total Revenue,44052000000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2024,2024-12-31,Total Revenue,43486800000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2023,2023-12-31,Total Revenue,41182500000.0,EUR,annual
OR.PA,L'Oréal,Home & Personal Care,France,FY 2022,2022-12-31,Total Revenue,38260600000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2024,2024-12-31,EBITDA,3678000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2023,2023-12-31,EBITDA,2923000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2022,2022-12-31,EBITDA,2644000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2021,2021-12-31,EBITDA,3180000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2024,2024-12-31,Net Income,2007000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2023,2023-12-31,Net Income,1318000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2022,2022-12-31,Net Income,1259000000.0,EUR,annual
