DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-01,5544.18
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-02,7211.82
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-03,6059.81
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-04,5095.97
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-05,4953.7
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-06,3210.8
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-07,4970.8
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-08,2831.7
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-09,6570.62
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-10,3803.48
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-11,5265.23
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2023-12,3385.52
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-01,4407.68
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-02,6954.18
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-03,9590.18
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-04,14261.44
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-05,15066.45
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-06,11250.16
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-07,7433.36
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-08,8587.63
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-09,8612.64
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-10,5131.88
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-11,1280.34
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2024-12,700.3
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-01,850.82
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-02,6171.14
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-03,3622.85
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-04,4422.71
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-05,5417.17
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-06,6130.03
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-07,8232.97
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-08,4862.36
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-09,9366.65
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-10,5455.08
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,QUANTITY_IN_100KG,2025-11,5865.77
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-01,1161630.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-02,1464869.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-03,1265762.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-04,964893.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-05,880517.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-06,568214.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-07,799026.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-08,447382.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-09,996227.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-10,553163.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-11,752466.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2023-12,489337.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-01,608307.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-02,967980.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-03,1269045.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-04,2051873.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-05,2170361.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-06,1630203.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-07,1183227.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-08,1410417.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-09,1383554.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-10,864726.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-11,239298.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2024-12,163338.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-01,176346.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-02,866541.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-03,560370.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-04,696361.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-05,855036.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-06,954964.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-07,1218163.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-08,768572.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-09,1430911.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-10,873939.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064090,1,VALUE_IN_EUROS,2025-11,851523.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-01,535.29
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-02,449.91
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-03,439.53
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-04,173.4
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-05,163.53
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-06,254.24
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-07,954.34
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-08,155.06
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-09,374.01
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-10,1544.59
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-11,327.1
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2023-12,422.29
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2024-01,1013.61
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2024-02,603.5
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2024-03,639.53
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2024-04,1033.42
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2024-05,889.1
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2024-06,882.8
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2024-07,2491.86
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,BE,WORLD,48064090,1,QUANTITY_IN_100KG,2024-08,1415.89
