DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-06,1597263.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-07,1203053.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-08,1678565.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-09,819373.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-10,1875611.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-11,1058185.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2023-12,649466.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-01,1366269.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-02,1482962.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-03,966215.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-04,2493890.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-05,1425445.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-06,1025507.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-07,1507735.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-08,870480.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-09,1210843.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-10,1305950.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-11,972059.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2024-12,406942.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-01,1395683.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-02,1273414.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-03,1334541.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-04,1412964.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-05,1316171.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-06,997928.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-07,1257306.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-08,981975.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-09,1308361.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-10,1711560.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,1,VALUE_IN_EUROS,2025-11,1297981.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-01,1749.17
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-02,1953.57
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-03,2369.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-04,2036.64
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-05,2749.74
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-06,1779.43
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-07,2155.52
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-08,1688.97
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-09,2550.51
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-10,2694.47
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-11,2714.21
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2023-12,1341.34
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2024-01,2051.46
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2024-02,2362.75
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2024-03,2391.33
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39206100,2,QUANTITY_IN_100KG,2024-04,2366.92
