DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-01,4421.09
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-02,3489.85
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-03,3738.43
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-04,3978.02
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-05,4096.23
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-06,3940.04
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-07,3182.97
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-08,3328.46
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-09,3469.32
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-10,2599.7
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-11,3653.99
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2023-12,1998.41
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-01,2678.69
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-02,3733.5
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-03,3508.31
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-04,3446.86
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-05,3330.57
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-06,3094.37
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-07,3665.42
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-08,2840.58
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-09,2994.87
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-10,4174.24
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-11,2937.59
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201023,1,QUANTITY_IN_100KG,2024-12,2133.47
