DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-01,929.91
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-02,196.57
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-03,193.11
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-04,96.33
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-05,141.11
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-06,239.32
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-07,51.87
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-08,2.21
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-09,12.98
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-11,78.72
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2023-12,67.4
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-01,153.91
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-02,232.89
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-03,0.63
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-04,0.08
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-05,288.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-06,423.89
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-07,323.66
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-08,99.08
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-09,96.2
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-10,192.2
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201081,1,QUANTITY_IN_100KG,2024-11,192.38
