DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-01,17557.07
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-02,20697.39
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-03,21530.7
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-04,20574.92
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-05,15807.13
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-06,14267.25
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-07,13135.91
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-08,12229.14
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-09,15169.84
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-10,15977.13
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-11,15759.67
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2023-12,10716.57
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-01,19250.07
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-02,25867.49
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-03,24878.28
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-04,24729.78
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-05,19811.93
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-06,19368.19
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-07,19519.04
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-08,18627.44
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-09,20684.47
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-10,22566.13
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-11,20121.14
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2024-12,15380.58
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2025-01,19174.63
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,39201089,1,QUANTITY_IN_100KG,2025-02,17514.73
