DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-01,4220.64
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-02,2977.4
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-03,2975.51
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-04,1210.84
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-05,2459.18
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-06,2723.63
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-07,3984.91
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-08,2509.39
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-09,3752.3
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-10,4328.87
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-11,8323.83
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2023-12,1509.18
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2024-01,5679.19
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2024-02,4585.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2024-03,4459.83
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2024-04,2760.78
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2024-05,3650.0
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2024-06,3819.6
ESTAT:DS-045409(1.0),13/02/26 11:00:00,M,AT,WORLD,48064010,1,QUANTITY_IN_100KG,2024-07,6915.6
